start_station,count,Station_Name
3010,22711,15th & Spruce
3032,17980,23rd & South
3359,15175,17th & Locust
3295,14166,12th & Chestnut
3020,13988,University City Station
3244,13948,Broad & Carpenter
3066,13899,19th & Lombard
3054,13572,Rodin Museum
3208,13426,34th & Spruce
3028,13422,4th & Bainbridge
3022,13190,Amtrak 30th Street Station
3101,13139,11th & South
3362,12850,13th & Locust
3059,12445,"Spring Garden Station, BSL"
3012,12363,21st & Catharine
3185,12269,11th & Market
3063,12116,17th & Pine
3052,11900,9th & Locust
3161,11867,30th Street Station East
3007,11825,"11th & Pine, Kahn Park"
3163,11753,25th & Locust
3061,11697,23rd & Market
3296,11129,16th & Chestnut
3046,11013,
3256,10806,23rd & Chestnut
3203,10710,18th & Christian
3301,10652,18th & Walnut
3102,10645,Pennsylvania & Fairmount Perelman Building
3030,10567,Darien & Catharine
3038,10529,The Children's Hospital of Philadelphia (CHOP)
3034,9695,11th & Reed
3304,9661,7th & South
3057,9387,Philadelphia Museum of Art
3051,9343,23rd & Fairmount
3018,9232,12th & Filbert
3363,9211,13th & Spruce
3026,9077,2nd & Lombard
3125,9073,15th & South
3058,8981,20th & Fairmount
3064,8959,"18th & Washington, Chew Playground"
3168,8896,20th & Sansom
3100,8829,Moyamensing & Tasker
3009,8819,33rd & Market
3264,8694,8th & Spruce
3255,8674,Broad & Chestnut
3212,8607,Schuylkill Banks Pergola
3029,8554,36th & Sansom
3318,8426,City Hall South
3025,8270,11th & Washington
3078,8206,19th & Market
3294,8199,18th & Chestnut
3156,8179,20th & Market
3053,8141,Point Breeze & Tasker
3165,8010,24th & Race SRT
3164,7830,12th & Passyunk
3201,7794,16th & Arch
3033,7790,10th & Chestnut
3361,7650,"18th & Fernon, Aquinas Center"
3037,7603,Pennsylvania Convention Center
3154,7527,12th & Callowhill
3205,7507,17th & JFK
3021,7423,18th & JFK
3040,7412,17th & Spring Garden
3207,7398,34th & Chestnut
3238,7280,6th & S Washington Square
3055,7227,8th & Market
3333,7188,18th & JFK Curbside
3069,7125,4th & Christian
3360,7085,Broad & Reed
3159,7040,38th & Spruce
3114,7014,22nd & Federal
3182,6987,17th & Sansom
3157,6844,"8th & Mifflin, Bok Building"
3299,6776,9th & Lombard
3340,6762,27th & Pennsylvania
3346,6692,6th & Chestnut
3075,6636,Fairmount & Ridge
3162,6599,27th & South
3160,6549,38th & Market
3049,6511,Foglietta Plaza
3155,6447,7th & Fitzwater
3124,6411,Race Street Pier
3068,6378,Broad & Federal
3035,6281,Dornsife Center
3098,6237,10th & Federal
3382,6170,Walnut & Rittenhouse
3088,6122,3rd & Girard
3204,5910,17th & Green
3322,5905,7th & Passyunk
3072,5891,Front & Carpenter
3373,5812,11th & Wood
3006,5770,40th & Spruce
3120,5625,31st & Girard
3169,5588,2nd & Race
3150,5552,"15th & Castle, DiSilvestro Playground"
3047,5454,"Independence Mall, NPS"
3041,5438,"Girard Station, MFL"
3365,5430,"32nd & Baring, Drexel Park"
3336,5426,36th & Filbert
3371,5422,9th & Arch
3074,5381,44th & Walnut
3374,5307,26th & Poplar
3235,5250,16th & Callowhill
3342,5246,22nd & Spring Garden
3248,5242,24th & Christian
3166,5073,Frankford & Belgrade
3345,4950,5th & Spring Garden
3062,4947,24th & Sansom
3245,4923,Broad & Cecil B Moore
3116,4882,Barnes Foundation
3347,4878,9th & Race
3073,4843,9th & Spring Garden
3005,4832,"Welcome Park, NPS"
3261,4797,2nd & Brown
3086,4737,Broad & Christian
3158,4594,Broad & Passyunk
3099,4583,4th & Washington
3249,4549,34th & Arch
3015,4472,"4th & Walnut, NPS"
3110,4389,Del. River Trail & Penn St.
3314,4368,Front & Queen
3383,4351,"3rd & Wildey, Liberty Lands Park"
3031,4236,13th & Montgomery
3187,4230,20th & Race
3375,4201,"Spring Garden Station, MFL"
3300,4079,Broad & Cherry
3328,4042,Kelly Drive Grandstand
3297,4029,18th & Vine
3321,4029,20th & Cuthbert
3210,4010,Broad & Diamond
3236,3911,24th & Pennsylvania
3097,3887,"Berks Station, MFL"
3334,3779,7th & Dickinson
3266,3765,Water & Mifflin
3197,3745,Broad & Ritner
3337,3706,6th & Master
3056,3595,Broad & Oxford
3286,3590,6th & Brown
3252,3561,30th & Oakford
3349,3557,25th & Wharton
3112,3489,48th & Spruce
3104,3456,34th & Mantua
3209,3449,45th & Baltimore
3017,3442,6th & Berks
3303,3383,41st & Chestnut
3265,3314,Powelton & Lancaster
3039,3257,Broad & Girard
3276,3232,12th & Fairmount
3341,3091,York & Trenton
3077,3055,17th & Girard
3008,3035,Temple University Station
3060,2993,Free Library of Philadelphia - Central Library
3014,2985,"21st & Winter, Franklin Institute"
3378,2967,4th & Arch
3279,2950,13th & Mifflin
3275,2924,York & Aramingo
3184,2873,Health Sciences Drive
3320,2862,Broad & Master
3188,2813,"Broad & Pattison, BSL"
3211,2723,Corinthian & Poplar
3343,2654,
3019,2642,6th & Race
3369,2624,Ridge & Ferry
3254,2572,16th & Montgomery
3319,2547,Penn Treaty Park
3024,2546,"43rd & Chester, Clark Park"
3285,2544,5th & Willow
3331,2508,Girard & Palmer
3246,2482,50th & Baltimore
3324,2454,Kelly Drive - Strawberry Mansion Bridge
3237,2378,Broad & Oregon
3115,2346,"19th & Girard, PTTI"
3152,2287,"40th & Baltimore, Trolley Portal"
3267,2271,19th & Oregon
3257,2242,
3308,2189,
3393,2155,2nd & George
3376,2140,Thompson & Franklin
3357,2113,10th & Packer
3118,2077,"46th Street Station, MFL"
3316,2072,16th & Wolf
3387,2042,6th & Girard
3395,2008,12th & Carpenter
3200,1941,Ridge & Master
3370,1940,Pencoyd Bridge
3258,1914,52nd & Chestnut
3067,1904,"39th & Mt. Vernon, Mantua Haverford Community Center"
3381,1873,48th & Baltimore
3263,1860,43rd & Powelton
3119,1812,42nd & Lancaster
3250,1792,4th & Wood
3241,1781,52nd & Larchwood - Malcolm X Park
3291,1739,Ridge & Heritage
3259,1695,Saunders & Pearl
3292,1694,5th & Wolf
3226,1642,2nd & Norris
3253,1530,"26th & Moore, Vare Recreation Center"
3394,1503,Broad & Snyder
3335,1491,Main & Shurs
3325,1489,Cedar & Norris
3016,1480,"11th & Poplar, John F. Street Community Center"
3107,1480,33rd & Reservoir
3313,1395,10th & Oregon
3326,1393,M.L.K. Drive - Strawberry Mansion Bridge
3233,1391,
3065,1346,Girard & Hutchinson
3348,1328,
3277,1316,20th & Berks
3355,1268,
3251,1261,29th & Tasker
3123,1255,22nd & Cecil B. Moore
3397,1240,21st & Washington
3287,1237,49th & Chester
3377,1198,
3093,1186,33rd & Diamond
3111,1181,"Parkside & Belmont, Case Building"
3243,1162,8th & Diamond
3323,1107,Manayunk Bridge
3344,1074,56th & Chestnut
3310,1051,Oxford & Glenwood
3368,1042,23rd & Master
3350,1024,Broad & Lehigh
3353,1010,"Broad & Ontario, Temple Hospital"
3311,981,
3338,940,54th & Cedar
3396,921,21st & Passyunk
3356,905,12th & Normandy
3183,887,15th & Kitty Hawk
3329,870,Cresson & Levering
3117,861,ParkWest Town Center
3298,858,42nd & Woodland
3327,802,York & Gaul
3268,790,10th & Oxford
3271,789,53rd & Baltimore
3392,758,30th & Reed
3284,750,Midvale & Cresson
3113,747,Philadelphia Zoo
3272,701,50th & Haverford
3372,691,24th & Jackson
3281,681,Lindbergh & Wheeler
3106,648,33rd & Dauphin
3181,641,Crescent Park
3317,621,
3352,610,Broad & Allegheny
3390,593,"52nd St Station, MFL"
3388,577,8th & Brown
3247,570,47th & Aspen - Lucien Blackwell
3354,545,58th & Spruce
3315,523,48th & Woodland
3096,489,29th & Dauphin
3366,451,
3196,437,25th & Diamond
3332,426,32nd & Allegheny
3305,418,22nd & Lehigh
3400,399,12th & Walnut
3385,395,8th & Chestnut
3170,389,
3306,370,28th & Lehigh
3280,365,50th & Woodland
3282,339,10th & Nevada
3240,319,44th & Haverford
3389,275,Grays Ferry & Pemberton
3391,267,54th & City Ave
3278,264,22nd & Sedgley
3351,230,12th & Cambria
3398,199,4th & Oregon
3307,194,27th & Clearfield
3405,174,Fitzwater & Juniper
3399,99,American & Oxford
3000,83,
3408,77,2nd & Snyder
3407,60,American & Berks
3411,37,57th & Westminster
3409,22,"7th & Race, Franklin Square"
3410,12,"51st & Regent, Kingsessing Library"
3309,4,
3283,4,
