start_station,electric_count,standard_count,electric_to_standard_ratio,Latitude,Longitude
3000,63,20,3.15,39.915909,-75.183701
3005,2956,1876,1.58,39.94733,-75.144028
3006,3645,2125,1.72,39.952202,-75.20311
3007,6320,5505,1.15,39.945171,-75.159927
3008,2286,749,3.05,39.980808,-75.150673
3009,4979,3840,1.3,39.955761,-75.189819
3010,13359,9352,1.43,39.947109,-75.166183
3012,7804,4559,1.71,39.942181,-75.177467
3014,1775,1210,1.47,39.958858,-75.173691
3015,2391,2081,1.15,39.94735,-75.148857
3016,1053,427,2.47,39.968922,-75.154701
3017,2577,865,2.98,39.98003,-75.143707
3018,4669,4563,1.02,39.952728,-75.15979
3019,1450,1192,1.22,39.954029,-75.149834
3020,9787,4201,2.33,39.948551,-75.190071
3021,4375,3048,1.44,39.953899,-75.169022
3022,8271,4919,1.68,39.95472,-75.183228
3024,1750,796,2.2,39.94848351031317,-75.20898059183672
3025,3559,4711,0.76,39.937241,-75.161201
3026,5718,3359,1.7,39.941818,-75.1455
3028,8419,5003,1.68,39.940609,-75.149582
3029,4921,3633,1.35,39.9538,-75.194794
3030,5553,5014,1.11,39.93935,-75.157158
3031,2631,1605,1.64,39.980049,-75.15522
3032,11275,6705,1.68,39.945271,-75.17971
3033,4663,3127,1.49,39.95005,-75.156723
3034,4514,5181,0.87,39.933151,-75.162483
3035,4256,2025,2.1,39.962711,-75.194191
3037,3683,3920,0.94,39.954239,-75.161377
3038,7218,3311,2.18,39.947811,-75.194092
3039,2176,1081,2.01,39.971569,-75.159927
3040,5046,2366,2.13,39.962891,-75.166061
3041,2786,2652,1.05,39.968491,-75.13546
3046,6717,4296,1.56,39.950119,-75.144722
3047,3276,2178,1.5,39.950729,-75.149467
3049,3422,3089,1.11,39.945091,-75.142502
3051,6755,2588,2.61,39.967442,-75.175072
3052,6797,5103,1.33,39.947319,-75.156952
3053,5422,2719,1.99,39.932308,-75.181541
3054,8403,5169,1.63,39.962502,-75.174202
3055,4180,3047,1.37,39.951118,-75.154572
3056,1891,1704,1.11,39.976688,-75.158127
3057,5220,4167,1.25,39.96439,-75.179871
3058,6084,2897,2.1,39.967159,-75.170013
3059,7542,4903,1.54,39.96244,-75.161209
3060,1437,1556,0.92,39.959229,-75.170357
3061,6778,4919,1.38,39.95425,-75.177612
3062,2931,2016,1.45,39.951969,-75.179428
3063,6524,5592,1.17,39.946331,-75.1698
3064,5310,3649,1.46,39.9384,-75.173271
3065,900,446,2.02,39.970699,-75.151711
3066,8398,5501,1.53,39.94561,-75.173477
3067,1320,584,2.26,39.964111,-75.19973
3068,3440,2938,1.17,39.93549,-75.167107
3069,3917,3208,1.22,39.937038,-75.150383
3072,3767,2124,1.77,39.934448,-75.145409
3073,3227,1616,2.0,39.96143,-75.15242
3074,3294,2087,1.58,39.955109,-75.209869
3075,4273,2363,1.81,39.967178,-75.161247
3077,1907,1148,1.66,39.972069,-75.163513
3078,4462,3744,1.19,39.953548,-75.171921
3086,2634,2103,1.25,39.940189,-75.166908
3088,3366,2756,1.22,39.969841,-75.1418
3093,540,646,0.84,39.988369,-75.187012
3096,226,263,0.86,39.991192,-75.179749
3097,2439,1448,1.68,39.978882,-75.133392
3098,2978,3259,0.91,39.934311,-75.160423
3099,2753,1830,1.5,39.93401,-75.15094
3100,5177,3652,1.42,39.927769,-75.151031
3101,6355,6784,0.94,39.942951,-75.159554
3102,6478,4167,1.55,39.96759,-75.17952
3104,2088,1368,1.53,39.96664,-75.192093
3106,397,251,1.58,39.991791,-75.186371
3107,1125,355,3.17,39.982029,-75.18866
3110,2231,2158,1.03,39.96175,-75.136414
3111,701,480,1.46,39.977791,-75.213226
3112,2243,1246,1.8,39.953732,-75.218246
3113,437,310,1.41,39.97472,-75.197807
3114,4450,2564,1.74,39.937752,-75.180122
3115,1733,613,2.83,39.97263,-75.167572
3116,2620,2262,1.16,39.96006,-75.171982
3117,635,226,2.81,39.978409,-75.223991
3118,1342,735,1.83,39.95866,-75.213226
3119,1365,447,3.05,39.96674,-75.207993
3120,4400,1225,3.59,39.97522,-75.186691
3123,924,331,2.79,39.980042,-75.170883
3124,3093,3318,0.93,39.953671,-75.139557
3125,5124,3949,1.3,39.943909,-75.167351
3150,3161,2391,1.32,39.928841,-75.170212
3152,1516,771,1.97,39.949928,-75.202858
3154,4425,3102,1.43,39.95924,-75.158211
3155,3582,2865,1.25,39.940182,-75.154419
3156,5087,3092,1.65,39.953812,-75.174072
3157,4245,2599,1.63,39.925449,-75.159538
3158,2538,2056,1.23,39.925522,-75.169037
3159,4613,2427,1.9,39.95121,-75.199623
3160,4597,1952,2.36,39.956619,-75.198624
3161,8032,3835,2.09,39.954861,-75.180908
3162,3485,3114,1.12,39.94595,-75.184753
3163,5831,5922,0.98,39.949741,-75.180969
3164,4160,3670,1.13,39.928139,-75.165154
3165,4699,3311,1.42,39.958191,-75.1782
3166,3074,1999,1.54,39.971951,-75.134453
3168,5616,3280,1.71,39.95134,-75.173943
3169,3257,2331,1.4,39.953819,-75.142632
3170,209,180,1.16,39.94426,-75.181343
3181,333,308,1.08,39.89629,-75.17514
3182,4256,2731,1.56,39.950809,-75.169533
3183,489,398,1.23,39.889938,-75.176788
3184,1706,1167,1.46,39.945728,-75.195511
3185,6339,5930,1.07,39.951691,-75.158882
3187,2599,1631,1.59,39.957249,-75.172318
3188,1682,1131,1.49,39.904709,-75.173401
3196,340,97,3.51,39.987171,-75.174767
3197,2014,1731,1.16,39.92083,-75.170326
3200,1292,649,1.99,39.97583,-75.168457
3201,4718,3076,1.53,39.955231,-75.166199
3203,5898,4812,1.23,39.940769,-75.172272
3204,4537,1373,3.3,39.964371,-75.165817
3205,4285,3222,1.33,39.954048,-75.167831
3207,4174,3224,1.29,39.954411,-75.192001
3208,8791,4635,1.9,39.950481,-75.193237
3209,2045,1404,1.46,39.949001,-75.212784
3210,2286,1724,1.33,39.984921,-75.156677
3211,2093,630,3.32,39.971722,-75.170601
3212,3892,4715,0.83,39.963829,-75.18177
3226,1201,441,2.72,39.98101,-75.137207
3233,836,555,1.51,39.955009,-75.152077
3235,3415,1835,1.86,39.959999,-75.1651
3236,2175,1736,1.25,39.96566,-75.17765
3237,1140,1238,0.92,39.917171,-75.170959
3238,3975,3305,1.2,39.946281,-75.151382
3240,251,68,3.69,39.962769,-75.211853
3241,1338,443,3.02,39.952251,-75.226372
3243,989,173,5.72,39.983501,-75.14743
3244,6880,7068,0.97,39.938648,-75.16674
3245,2908,2015,1.44,39.97887,-75.157768
3246,1946,536,3.63,39.947819,-75.223007
3247,466,104,4.48,39.965382,-75.215141
3248,3267,1975,1.65,39.942131,-75.18335
3249,2994,1555,1.93,39.95784,-75.190788
3250,948,844,1.12,39.95673,-75.145752
3251,821,440,1.87,39.933659,-75.193192
3252,2320,1241,1.87,39.93882,-75.193237
3253,1041,489,2.13,39.93174,-75.189957
3254,1762,810,2.18,39.980911,-75.160652
3255,4866,3808,1.28,39.950951,-75.164383
3256,6363,4443,1.43,39.95269,-75.177788
3257,1435,807,1.78,39.9216,-75.150002
3258,1360,554,2.45,39.958279,-75.224243
3259,807,888,0.91,39.95998,-75.19883
3261,2873,1924,1.49,39.963039,-75.140991
3263,1040,820,1.27,39.958599,-75.208099
3264,5228,3466,1.51,39.945709,-75.155083
3265,1934,1380,1.4,39.959572,-75.196327
3266,2206,1559,1.42,39.923698,-75.147011
3267,1245,1026,1.21,39.917999,-75.179604
3268,655,135,4.85,39.97633,-75.151009
3271,556,233,2.39,39.947601,-75.229462
3272,641,60,10.68,39.96405,-75.220482
3275,1406,1518,0.93,39.975761,-75.121567
3276,2114,1118,1.89,39.965691,-75.156792
3277,1048,268,3.91,39.983059,-75.167381
3278,195,69,2.83,39.993011,-75.168098
3279,1818,1132,1.61,39.926498,-75.166801
3280,239,126,1.9,39.939678,-75.213623
3281,491,190,2.58,39.932301,-75.216202
3282,240,99,2.42,39.986279,-75.149246
3283,4,0,inf,39.975948,-75.175087
3284,515,235,2.19,40.01112,-75.192871
3285,1468,1076,1.36,39.959461,-75.147453
3286,2339,1251,1.87,39.964088,-75.14769
3287,971,266,3.65,39.943668,-75.216057
3291,1006,733,1.37,40.01022,-75.196999
3292,943,751,1.26,39.919998,-75.156197
3294,4722,3477,1.36,39.95174,-75.170631
3295,7869,6297,1.25,39.950279,-75.160271
3296,6346,4783,1.33,39.95134,-75.16758
3297,2172,1857,1.17,39.95821,-75.169006
3298,537,321,1.67,39.94717,-75.206909
3299,3403,3373,1.01,39.943321,-75.156982
3300,2135,1944,1.1,39.955109,-75.162872
3301,6295,4357,1.44,39.950291,-75.171257
3303,2003,1380,1.45,39.955898,-75.205299
3304,5790,3871,1.5,39.942341,-75.153992
3305,291,127,2.29,39.995689,-75.167099
3306,338,32,10.56,39.99683,-75.177612
3307,127,67,1.9,40.0028,-75.174004
3308,965,1224,0.79,39.93866,-75.163513
3309,3,1,3.0,39.960041,-75.224403
3310,899,152,5.91,39.98024,-75.186508
3311,512,469,1.09,39.915508,-75.154739
