Station_ID,Station_Name,Day of Go_live_date,Status,Latitude,Longitude
3005,"Welcome Park, NPS",4/23/2015,Active,39.94734549200867,-75.14402934
3006,40th & Spruce,4/23/2015,Active,39.9522,-75.20311
3007,"11th & Pine, Kahn Park",4/23/2015,Active,39.94516911296436,-75.1599338
3008,Temple University Station,4/23/2015,Active,39.98081,-75.15067
3009,33rd & Market,4/23/2015,Active,39.95576,-75.18982
3010,15th & Spruce,4/23/2015,Active,39.947311,-75.166569
3012,21st & Catharine,4/23/2015,Active,39.9421844,-75.1773685
3014,"21st & Winter, Franklin Institute",4/23/2015,Active,39.95888036,-75.17368857
3015,"4th & Walnut, NPS",4/23/2015,Active,39.94738064,-75.14885622
3016,"11th & Poplar, John F. Street Community Center",4/23/2015,Active,39.96893076,-75.15469877
3017,6th & Berks,4/23/2015,Active,39.98003,-75.14371
3018,12th & Filbert,4/29/2015,Active,39.9528112,-75.1599914
3019,6th & Race,4/29/2015,Active,39.95403,-75.14983
3020,University City Station,4/23/2015,Active,39.9478438,-75.1903818
3021,18th & JFK,4/23/2015,Active,39.954204,-75.16978
3022,Amtrak 30th Street Station,4/23/2015,Active,39.9546925,-75.1832927
3024,"43rd & Chester, Clark Park",4/23/2015,Active,39.94848351031317,-75.20898059183672
3025,11th & Washington,4/23/2015,Active,39.93724,-75.1612
3026,2nd & Lombard,4/23/2015,Active,39.9418424,-75.1454843
3028,4th & Bainbridge,4/23/2015,Active,39.9406414,-75.1495768
3029,36th & Sansom,4/23/2015,Active,39.9538,-75.19479
3030,Darien & Catharine,4/23/2015,Active,39.93935,-75.15716
3031,13th & Montgomery,4/23/2015,Active,39.98005,-75.15522
3032,23rd & South,4/23/2015,Active,39.945366,-75.17953365
3033,10th & Chestnut,4/23/2015,Active,39.95005,-75.15672
3034,11th & Reed,4/23/2015,Active,39.93315,-75.16248
3035,Dornsife Center,7/31/2015,Active,39.96271,-75.19419
3037,Pennsylvania Convention Center,4/29/2015,Active,39.955107,-75.1602358
3038,The Children's Hospital of Philadelphia (CHOP),4/23/2015,Active,39.9476181,-75.1944141
3039,Broad & Girard,4/23/2015,Active,39.9716278,-75.159943
3040,17th & Spring Garden,4/23/2015,Active,39.96289,-75.16606
3041,"Girard Station, MFL",4/23/2015,Active,39.96850409,-75.13545904
3047,"Independence Mall, NPS",4/23/2015,Active,39.95073718,-75.14947893
3049,Foglietta Plaza,4/23/2015,Active,39.94509,-75.1425
3051,23rd & Fairmount,4/23/2015,Active,39.96744,-75.17507
3052,9th & Locust,4/23/2015,Active,39.9473232,-75.1569003
3053,Point Breeze & Tasker,4/23/2015,Active,39.9323324,-75.181495
3054,Rodin Museum,4/23/2015,Active,39.96250674,-75.17419888
3055,8th & Market,4/28/2015,Active,39.9512871,-75.1535469
3056,Broad & Oxford,4/23/2015,Active,39.97669,-75.15813
3057,Philadelphia Museum of Art,4/23/2015,Active,39.9655639,-75.1815121
3058,20th & Fairmount,4/23/2015,Active,39.9671425,-75.1700305
3059,"Spring Garden Station, BSL",4/23/2015,Active,39.96287038,-75.16122553
3060,Free Library of Philadelphia - Central Library,4/23/2015,Active,39.9594166,-75.1703315
3061,23rd & Market,4/23/2015,Active,39.9542617,-75.17756
3062,24th & Sansom,4/23/2015,Active,39.9519156,-75.1794573
3063,17th & Pine,4/23/2015,Active,39.946315,-75.169648
3064,"18th & Washington, Chew Playground",4/23/2015,Active,39.93843702,-75.17327764
3065,Girard & Hutchinson,4/23/2015,Active,39.9706807,-75.1516833
3066,19th & Lombard,4/23/2015,Active,39.94561,-75.17348
